x	y	s=1	s=2	s=3
0.01	1.06552	1.06653	1.09988	1.10743
0.02	1.14415	1.06754	1.05821	1.05327
0.03	0.987044	0.991938	0.982169	0.979668
0.04	0.821777	0.921232	0.923347	0.928518
0.05	0.928005	0.949981	0.938195	0.934677
0.06	1.0383	1.0007	0.981599	0.969598
0.07	1.07108	1.01383	0.998252	0.991731
0.08	0.882377	0.969716	0.989552	1.0036
0.09	0.9711	1.01294	1.02972	1.04015
0.1	1.2196	1.098	1.08581	1.07781
0.11	1.08685	1.06145	1.06624	1.06467
0.12	0.953181	0.999505	1.01325	1.01983
0.13	0.940764	0.983884	0.989642	0.990863
0.14	1.0536	1.01138	0.998188	0.989134
0.15	1.01471	0.996667	0.992765	0.991803
0.16	0.883738	0.963908	0.982667	0.993875
0.17	1.08455	1.01132	0.999131	0.995817
0.18	1.02097	0.985495	0.974465	0.96826
0.19	0.867197	0.924198	0.926398	0.926833
0.2	0.869657	0.919901	0.919162	0.918271
0.21	0.992571	0.965848	0.957789	0.953807
0.22	0.962967	0.985071	0.997807	1.00221
0.23	1.0871	1.0264	1.02952	1.03141
0.24	1.06197	1.00702	1.00841	1.01142
0.25	0.864582	0.932705	0.947508	0.956418
0.26	0.956025	0.926509	0.913422	0.911192
0.27	0.817122	0.890796	0.88983	0.887048
0.28	0.974992	0.928758	0.903013	0.889524
0.29	0.918666	0.920486	0.906541	0.901285
0.3	0.826065	0.914033	0.925968	0.934946
0.31	0.995213	0.995549	0.998969	1.00042
0.32	1.20508	1.0774	1.06332	1.0549
0.33	0.99768	1.03157	1.05303	1.06169
0.34	0.96066	1.01964	1.04388	1.0543
0.35	1.16376	1.06669	1.05632	1.05028
0.36	0.987559	1.01666	1.02754	1.02917
0.37	0.968674	0.995726	1.0022	1.00399
0.38	1.06956	1.00185	0.984988	0.97934
0.39	0.862067	0.940257	0.947036	0.951004
0.4	0.972853	0.956856	0.944067	0.940971
0.41	0.955291	0.957457	0.946829	0.942178
0.42	0.941224	0.960224	0.954858	0.952206
0.43	0.993009	0.981991	0.976149	0.975092
0.44	0.946013	0.992741	1.00507	1.01004
0.45	1.0804	1.05022	1.05284	1.05108
0.46	1.17241	1.07751	1.07162	1.06886
0.47	0.913603	1.00991	1.04116	1.05643
0.48	1.0661	1.03861	1.04197	1.0457
0.49	1.11003	1.03982	1.027	1.02034
0.5	0.918228	0.970827	0.973372	0.971594
0.51	0.943062	0.954431	0.941191	0.93354
0.52	0.94165	0.949404	0.935439	0.928815
0.53	0.864585	0.95213	0.962966	0.967613
0.54	1.11642	1.0424	1.03683	1.03719
0.55	1.07604	1.05866	1.07172	1.07855
0.56	1.1112	1.05753	1.06189	1.06611
0.57	1.00362	1.00273	1.00593	1.00821
0.58	0.869304	0.94704	0.951742	0.95005
0.59	1.01525	0.969086	0.944908	0.931633
0.6	0.877872	0.944967	0.948575	0.950195
0.61	0.95941	0.987943	0.996234	1.00345
0.62	1.15372	1.05945	1.05067	1.04919
0.63	1.0576	1.03669	1.03785	1.03722
0.64	1.00447	0.99303	0.986772	0.985307
0.65	0.837969	0.937927	0.946211	0.950653
0.66	0.948124	0.982782	0.982627	0.980914
0.67	1.1186	1.06229	1.05424	1.04611
0.68	1.15264	1.0855	1.08477	1.08319
0.69	0.996277	1.04157	1.06229	1.07341
0.7	1.0865	1.04292	1.04276	1.04719
0.71	0.920901	1.00069	1.01611	1.01956
0.72	1.13916	1.03826	1.01603	1.00267
0.73	0.908126	0.974923	0.980992	0.979074
0.74	0.992504	0.978385	0.972619	0.973609
0.75	0.913938	0.967727	0.979651	0.988836
0.76	1.03814	1.01086	1.01072	1.0114
0.77	1.12634	1.02671	1.00875	0.999491
0.78	0.907695	0.942931	0.944067	0.945247
0.79	0.785919	0.894387	0.904605	0.910351
0.8	0.970205	0.954311	0.941921	0.934824
0.81	1.04843	0.998341	0.988883	0.983353
0.82	0.976545	0.992283	1.00665	1.01606
0.83	0.989274	1.00196	1.01592	1.02387
0.84	1.12435	1.02433	1.00729	0.998835
0.85	0.925094	0.94668	0.944714	0.943947
0.86	0.742404	0.890615	0.909218	0.917545
0.87	1.04809	0.982762	0.962195	0.952215
0.88	1.06878	1.00958	0.998231	0.992542
0.89	0.895847	0.9772	0.997804	1.008
0.9	1.12165	1.02617	1.01194	1.00997
0.91	0.914741	0.979668	0.989721	0.992527
0.92	1.02058	0.998091	0.989915	0.985345
0.93	0.965223	0.994026	0.996325	0.99499
0.94	1.00727	1.01876	1.02341	1.02394
0.95	1.09666	1.05499	1.05455	1.05441
0.96	1.06601	1.04956	1.05694	1.06191
0.97	0.998836	1.02767	1.03993	1.04551
0.98	1.09421	1.03461	1.02191	1.01582
0.99	0.949176	0.981961	0.980182	0.978912
1	0.90234	0.962094	0.964368	0.966866
1.01	1.01372	1.00198	0.99307	0.989949
1.02	1.04842	1.03013	1.02286	1.01853
1.03	1.09027	1.03998	1.03098	1.0295
1.04	0.891446	0.999544	1.0202	1.02898
1.05	1.14785	1.06721	1.0526	1.04504
1.06	1.02997	1.05423	1.06149	1.05973
1.07	1.07138	1.0655	1.07543	1.07866
1.08	1.03777	1.07089	1.09146	1.09767
1.09	1.23007	1.10941	1.10257	1.09937
1.1	0.97864	1.02727	1.04806	1.05689
1.11	1.00323	0.99377	0.994765	0.997614
1.12	0.955738	0.950807	0.940054	0.936075
1.13	0.882088	0.902912	0.889783	0.885239
1.14	0.823165	0.875842	0.865488	0.862099
1.15	0.912496	0.901449	0.881008	0.873625
1.16	0.895222	0.916009	0.907861	0.905863
1.17	0.947262	0.951355	0.949052	0.951972
1.18	0.999463	0.990795	0.994948	1.00138
1.19	1.00317	1.02157	1.03412	1.03961
1.2	1.16939	1.07074	1.05967	1.05277
1.21	0.964211	1.02126	1.03373	1.03399
1.22	1.03484	1.02882	1.02815	1.02632
1.23	0.972016	1.03036	1.04526	1.04896
1.24	1.13532	1.09024	1.0941	1.09331
1.25	1.15894	1.10503	1.11043	1.11045
1.26	1.10542	1.06591	1.07126	1.0756
1.27	0.921811	0.987294	1.00212	1.01054
1.28	0.986304	0.974157	0.962664	0.957594
1.29	0.955435	0.948874	0.932279	0.923708
1.3	0.853509	0.917029	0.913971	0.91334
1.31	0.977116	0.948705	0.933906	0.932593
1.32	0.891894	0.95197	0.957791	0.961639
1.33	1.11365	1.01531	0.99454	0.986969
1.34	0.931822	0.980314	0.987171	0.989122
1.35	0.971089	0.993808	0.997812	1.00016
1.36	1.03689	1.03002	1.03324	1.03444
1.37	1.04231	1.05937	1.07351	1.07674
1.38	1.19668	1.10577	1.10234	1.09941
1.39	1.06095	1.06127	1.07221	1.07703
1.4	0.967029	1.0171	1.02998	1.03562
1.41	1.05934	1.02299	1.01122	1.00447
1.42	0.978844	0.992532	0.988576	0.984079
1.43	0.911257	0.975762	0.982806	0.982724
1.44	1.11844	1.0235	1.00494	0.99809
1.45	0.910899	0.976287	0.994445	1.00418
1.46	0.981675	0.994466	1.00431	1.00968
1.47	1.15803	1.02543	1.00398	0.995978
1.48	0.827104	0.923809	0.940235	0.948437
1.49	0.910229	0.918889	0.913934	0.915726
1.5	0.906045	0.922627	0.912791	0.90705
1.51	0.995753	0.942949	0.920819	0.910745
1.52	0.841723	0.910466	0.915286	0.918351
1.53	0.919462	0.946725	0.948391	0.949702
1.54	1.08405	1.01025	0.998772	0.993001
1.55	0.966624	0.999969	1.01614	1.02153
1.56	1.02466	1.02303	1.03547	1.04058
1.57	1.1244	1.04447	1.04225	1.04337
1.58	0.897939	0.985985	1.01113	1.02183
1.59	1.11251	1.01554	0.998921	0.99333
1.6	0.890312	0.948135	0.949232	0.946345
1.61	0.957886	0.938549	0.919266	0.910055
1.62	0.830397	0.909626	0.907306	0.904731
1.63	0.974346	0.959933	0.950252	0.948175
1.64	0.96488	0.995827	1.0081	1.01431
