x	y	y_inv	frequency	y_fft(real)	y_fft(imaginary)
0.01	1.06552	1.09895	0	1209.77	0
0.02	1.14415	1.05181	0.1	-122.029	45.6571
0.03	0.987044	0.992346	0.2	-8.48957	-132.046
0.04	0.821777	0.942182	0.3	71.4735	135.91
0.05	0.928005	0.921902	0.4	-126.788	-24.3732
0.06	1.0383	0.939452	0.5	157.495	-65.0673
0.07	1.07108	0.984835	0.6	-76.6346	96.0171
0.08	0.882377	1.03491	0.7	-35.7841	-103.442
0.09	0.9711	1.06597	0.8	108.542	61.5787
0.1	1.2196	1.06665	0.9	-140.389	20.8492
0.11	1.08685	1.04315	1	99.2857	-49.3849
0.12	0.953181	1.01358	1.1	8.02875	72.7376
0.13	0.940764	0.995345	1.2	-61.8718	-92.9713
0.14	1.0536	0.993914	1.3	58.1697	24.5423
0.15	1.01471	1.00057	1.4	-88.9625	63.0594
0.16	0.883738	1.00026	1.5	90.2306	-41.274
0.17	1.08455	0.9839	1.6	10.4531	15.024
0.18	1.02097	0.956154	1.7	-74.0289	-52.9801
0.19	0.867197	0.933107	1.8	45.5778	44.4482
0.2	0.869657	0.931116	1.9	-36.9458	20.6698
0.21	0.992571	0.954539	2	60.6593	-39.2068
0.22	0.962967	0.990966	2.1	-17.2551	26.1353
0.23	1.0871	1.01758	2.2	-24.5021	-39.3253
0.24	1.06197	1.0149	2.3	44.5297	34.7584
0.25	0.864582	0.979128	2.4	-67.1543	-7.23955
0.26	0.956025	0.925377	2.5	60.1043	-4.96883
0.27	0.817122	0.87978	2.6	-1.9073	43.9845
0.28	0.974992	0.865408	2.7	-25.0571	-86.6453
0.29	0.918666	0.890373	2.8	29.3511	42.2218
0.3	0.826065	0.944592	2.9	-71.8951	29.1902
0.31	0.995213	1.00618	3	85.3401	-27.9612
0.32	1.20508	1.05298	3.1	3.97236	32.9216
0.33	0.99768	1.07254	3.2	-56.7948	-75.2158
0.34	0.96066	1.0656	3.3	44.3619	44.5625
0.35	1.16376	1.0426	3.4	-46.9777	35.3682
0.36	0.987559	1.01617	3.5	46.166	-57.4428
0.37	0.968674	0.994454	3.6	7.49964	48.187
0.38	1.06956	0.978719	3.7	-47.4571	-42.8511
0.39	0.862067	0.965782	3.8	45.6996	11.7993
0.4	0.972853	0.953192	3.9	-47.7686	30.9557
0.41	0.955291	0.943405	4	18.8064	-26.6861
0.42	0.941224	0.943863	4.1	31.5663	29.8797
0.43	0.993009	0.962292	4.2	-28.5781	-41.5961
0.44	0.946013	0.999747	4.3	4.11522	4.08244
0.45	1.0804	1.04606	4.4	-27.2733	37.0395
0.46	1.17241	1.0819	4.5	32.2826	-12.9901
0.47	0.913603	1.0879	4.6	9.25105	2.1802
0.48	1.0661	1.0566	4.7	-24.7553	-36.2195
0.49	1.11003	0.999689	4.8	5.79909	26.9099
0.5	0.918228	0.944498	4.9	-22.7108	14.6828
0.51	0.943062	0.920017	5	46.0038	-14.8998
0.52	0.94165	0.939761	5.1	-19.7491	21.203
0.53	0.864585	0.992345	5.2	-8.49029	-51.1772
0.54	1.11642	1.0469	5.3	22.2055	39.7433
0.55	1.07604	1.07126	5.4	-59.7709	3.85863
0.56	1.1112	1.05191	5.5	59	-19.374
0.57	1.00362	1.00257	5.6	-4.22794	50.519
0.58	0.869304	0.955101	5.7	-27.4133	-67.6868
0.59	1.01525	0.93843	5.8	41.9219	27.7733
0.6	0.877872	0.959525	5.9	-65.4631	33.8556
0.61	0.95941	0.999751	6	52.3997	-48.7793
0.62	1.15372	1.02915	6.1	17.6176	50.5911
0.63	1.0576	1.02851	6.2	-64.7101	-56.0368
0.64	1.00447	1.00315	6.3	52.9791	3.24587
0.65	0.837969	0.978449	6.4	-36.7445	63.7899
0.66	0.948124	0.980075	6.5	15.0155	-59.957
0.67	1.1186	1.01382	6.6	47.2573	36.3913
0.68	1.15264	1.06013	6.7	-67.6429	-15.6123
0.69	0.996277	1.08778	6.8	34.7188	-33.1743
0.7	1.0865	1.07677	6.9	-11.6598	57.4616
0.71	0.920901	1.03325	7	-15.4274	-34.5043
0.72	1.13916	0.985131	7.1	54.455	5.42146
0.73	0.908126	0.961497	7.2	-43.1664	14.5256
0.74	0.992504	0.971291	7.3	0.344466	-35.6547
0.75	0.913938	0.9975	7.4	14.6975	41.5864
0.76	1.03814	1.01128	7.5	-16.1586	0.316069
0.77	1.12634	0.995149	7.6	30.7722	-24.3469
0.78	0.907695	0.957289	7.7	-9.65536	11.4537
0.79	0.785919	0.925581	7.8	-28.2661	-10.6602
0.8	0.970205	0.925774	7.9	17.0059	11.0582
0.81	1.04843	0.960589	8	0.921826	17.6407
0.82	0.976545	1.00623	8.1	4.55634	-19.6782
0.83	0.989274	1.02957	8.2	9.61736	1.61188
0.84	1.12435	1.0131	8.3	-19.4463	15.3363
0.85	0.925094	0.96868	8.4	-3.4038	1.35216
0.86	0.742404	0.929053	8.5	20.9281	16.2449
