x	y	y_inv	frequency	y_fwd(real)	y_fwd(imaginary)
0.01	1.06552	1.10017	0	1212.01	0
0.02	1.14415	1.05299	0.0998004	-122.37	44.7477
0.03	0.987044	0.992102	0.199601	-6.22379	-131.838
0.04	0.821777	0.939819	0.299401	68.849	137.671
0.05	0.928005	0.918575	0.399202	-125.387	-28.4718
0.06	1.0383	0.937542	0.499002	159.893	-59.5142
0.07	1.07108	0.985956	0.598802	-81.3752	92.8569
0.08	0.882377	1.03835	0.698603	-29.659	-104.908
0.09	0.9711	1.06906	0.798403	104.626	68.1922
0.1	1.2196	1.06688	0.898204	-140.97	11.8276
0.11	1.08685	1.04027	0.998004	104.144	-42.6984
0.12	0.953181	1.00993	1.0978	1.08415	72.2154
0.13	0.940764	0.993912	1.1976	-54.2328	-97.6477
0.14	1.0536	0.995898	1.29741	55.8444	32.0216
0.15	1.01471	1.00433	1.39721	-92.6478	54.1
0.16	0.883738	1.00268	1.49701	95.779	-34.0239
0.17	1.08455	0.982963	1.59681	5.6386	15.2238
0.18	1.02097	0.95265	1.69661	-67.5708	-59.2862
0.19	0.867197	0.929966	1.79641	41.7386	51.3641
0.2	0.869657	0.930958	1.89621	-37.6975	14.237
0.21	0.992571	0.957485	1.99601	65.5327	-31.6662
0.22	0.962967	0.994541	2.09581	-22.8338	23.4451
0.23	1.0871	1.0188	2.19561	-17.7229	-41.4105
0.24	1.06197	1.01275	2.29541	38.1118	41.8628
0.25	0.864582	0.975425	2.39521	-64.1142	-17.9369
0.26	0.956025	0.923233	2.49501	62.0733	5.66222
0.27	0.817122	0.880983	2.59481	-11.2961	39.7876
0.28	0.974992	0.868937	2.69461	-9.89635	-88.9865
0.29	0.918666	0.893263	2.79441	19.82	51.1474
0.3	0.826065	0.944425	2.89421	-72.4333	14.1271
0.31	0.995213	1.00311	2.99401	91.8734	-12.0874
0.32	1.20508	1.04959	3.09381	-8.00448	29.8529
0.33	0.99768	1.07167	3.19361	-40.4321	-83.2812
0.34	0.96066	1.06797	3.29341	34.1411	57.8902
0.35	1.16376	1.04622	3.39321	-51.6095	20.8983
0.36	0.987559	1.018	3.49301	59.3871	-45.7903
0.37	0.968674	0.992972	3.59281	-8.06925	48.2143
0.38	1.06956	0.975175	3.69261	-35.2344	-53.0118
0.39	0.862067	0.963148	3.79242	40.9218	26.0255
0.4	0.972853	0.95367	3.89222	-53.6322	16.8465
0.41	0.955291	0.946585	3.99202	29.0778	-21.1149
0.42	0.941224	0.947078	4.09182	20.6224	34.8934
0.43	0.993009	0.962853	4.19162	-19.004	-48.6314
0.44	0.946013	0.997191	4.29142	1.93418	9.95728
0.45	1.0804	1.04254	4.39122	-33.3199	28.1238
0.46	1.17241	1.08035	4.49102	37.674	-6.00757
